,0,1,2,3,4,5,6,7,8
314,broth,wine,thyme,onion,mushrooms,,,,
315,broth,parsley,wine,thyme,mushrooms,,,,
316,broth,parsley,wine,thyme,onion,,,,
317,parsley,thyme,onion,garlic,mushrooms,,,,
318,parsley,wine,onion,garlic,mushrooms,,,,
319,wine,thyme,onion,garlic,mushrooms,,,,
320,parsley,wine,thyme,garlic,mushrooms,,,,
321,parsley,wine,thyme,onion,garlic,,,,
322,parsley,wine,thyme,onion,mushrooms,,,,
323,broth,bay leaves,onion,garlic,bacon,mushrooms,,,
324,broth,parsley,bay leaves,garlic,bacon,mushrooms,,,
325,broth,bay leaves,thyme,garlic,bacon,mushrooms,,,
326,broth,bay leaves,wine,garlic,bacon,mushrooms,,,
327,broth,parsley,bay leaves,onion,garlic,bacon,,,
328,broth,bay leaves,thyme,onion,garlic,bacon,,,
329,broth,bay leaves,wine,onion,garlic,bacon,,,
330,broth,parsley,bay leaves,thyme,garlic,bacon,,,
331,broth,parsley,bay leaves,wine,garlic,bacon,,,
332,broth,bay leaves,wine,thyme,garlic,bacon,,,
333,broth,parsley,bay leaves,onion,bacon,mushrooms,,,
334,broth,bay leaves,thyme,onion,bacon,mushrooms,,,
335,broth,bay leaves,wine,onion,bacon,mushrooms,,,
336,broth,parsley,bay leaves,thyme,bacon,mushrooms,,,
337,broth,parsley,bay leaves,wine,bacon,mushrooms,,,
338,broth,bay leaves,wine,thyme,bacon,mushrooms,,,
339,broth,parsley,bay leaves,thyme,onion,bacon,,,
340,broth,parsley,bay leaves,wine,onion,bacon,,,
341,broth,bay leaves,wine,thyme,onion,bacon,,,
342,broth,parsley,bay leaves,wine,thyme,bacon,,,
343,parsley,bay leaves,onion,garlic,bacon,mushrooms,,,
344,bay leaves,thyme,onion,garlic,bacon,mushrooms,,,
345,bay leaves,wine,onion,garlic,bacon,mushrooms,,,
346,parsley,bay leaves,thyme,garlic,bacon,mushrooms,,,
347,parsley,bay leaves,wine,garlic,bacon,mushrooms,,,
348,bay leaves,wine,thyme,garlic,bacon,mushrooms,,,
349,parsley,bay leaves,thyme,onion,garlic,bacon,,,
350,parsley,bay leaves,wine,onion,garlic,bacon,,,
351,bay leaves,wine,thyme,onion,garlic,bacon,,,
352,parsley,bay leaves,wine,thyme,garlic,bacon,,,
353,parsley,bay leaves,thyme,onion,bacon,mushrooms,,,
354,parsley,bay leaves,wine,onion,bacon,mushrooms,,,
355,bay leaves,wine,thyme,onion,bacon,mushrooms,,,
356,parsley,bay leaves,wine,thyme,bacon,mushrooms,,,
357,parsley,bay leaves,wine,thyme,onion,bacon,,,
358,broth,parsley,onion,garlic,bacon,mushrooms,,,
359,broth,thyme,onion,garlic,bacon,mushrooms,,,
360,broth,wine,onion,garlic,bacon,mushrooms,,,
361,broth,parsley,thyme,garlic,bacon,mushrooms,,,
362,broth,parsley,wine,garlic,bacon,mushrooms,,,
363,broth,wine,thyme,garlic,bacon,mushrooms,,,
364,broth,parsley,thyme,onion,garlic,bacon,,,
365,broth,parsley,wine,onion,garlic,bacon,,,
366,broth,wine,thyme,onion,garlic,bacon,,,
367,broth,parsley,wine,thyme,garlic,bacon,,,
368,broth,parsley,thyme,onion,bacon,mushrooms,,,
369,broth,parsley,wine,onion,bacon,mushrooms,,,
370,broth,wine,thyme,onion,bacon,mushrooms,,,
371,broth,parsley,wine,thyme,bacon,mushrooms,,,
372,broth,parsley,wine,thyme,onion,bacon,,,
373,parsley,thyme,onion,garlic,bacon,mushrooms,,,
